Nr,Navn,Inndeling,Rnr,Region,Fnr,Fylke,År,Folkemengde,Antall personer 6-15,SKS tildelinger,Forfattere,Musikere og komponister,Film- og scenekunstnere,Visuelle kunstnere,Kulturformidling,Kunstnerisk Produksjon,Media,Total Besøk,Betalende Besøk,Utstillinger og arrangementer,Billettselskap Arrangementer,Billettselskap Omsetning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Besøk,Voksne aktive lånere,Utlån,Arrangement deltakere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Elever,Timer,Mangfold Timer,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Norsk Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring,Kunstlag
420,Eidskog,Kommune,10011,Glåmdal,4,Hedmark,2018,6142,593,122.754803,,1.139693911,,0.651253663,3.256268317,2.279387822,0.325626832,,,,1.628134158,4.111364376,2.930641485,0.087430804,294,297,7.713611202,127.3200912,3.547704331,0.007326604,,,,0.193929174,4.123102867,68,4.470489039,93,0,3.581895148,0,39.0752198,2.767828069,16.11852817,9.931618365,10.74617388,20.84011723,
423,Grue,Kommune,10011,Glåmdal,4,Hedmark,2014,4948,527,187.9082458,0.202101859,1.616814875,,1.414713015,6.06305578,4.446240905,11.31770412,1.682902183,1.076596605,,1.212611156,27.00848828,5.456750202,0.21200485,259,246,1.830638642,87.51010509,2.431891673,,0.606305578,0.053961196,,0.193548387,1.944971537,300,5.182163188,237,1.818916734,124.4947454,0,,24.45432498,14.14713015,9.902991108,2.260711399,11.51980598,
423,Grue,Kommune,10011,Glåmdal,4,Hedmark,2015,4853,507,187.8909953,,1.442406759,,1.442406759,5.357510818,3.709045951,11.12713785,2.070471873,0.844838244,,0.824232434,20.71151865,5.769627035,0.170616114,274,269,4.055635689,84.27776633,2.182567484,0.046363074,,,,0.15581854,1.923076923,296,5.944773176,177,10.92107974,196.2703482,0,,25.55120544,19.5755203,4.327220276,4.193282506,14.8361838,
423,Grue,Kommune,10011,Glåmdal,4,Hedmark,2016,4763,470,197.2525719,,1.679613689,,1.259710267,5.878647911,2.939323955,12.17719924,2.14360697,0.731891665,,1.049758556,16.84484569,4.618937644,0.123241654,267,271,3.538946042,75.37266429,2.281335293,0.039470922,0.419903422,0.034642032,,0.159574468,2.19787234,200,6.25106383,221,2.099517111,223.9134999,16.79613689,,24.77430191,19.94541256,4.199034222,7.478689901,14.69661978,
423,Grue,Kommune,10011,Glåmdal,4,Hedmark,2017,4777,455,200.6682018,,2.093364036,,1.465354825,6.280092108,2.93070965,11.30416579,2.180238644,0.91794013,15.70023027,1.256018422,24.70316098,7.954783337,0.249947666,263,251,0,94.41071802,2.459912079,0.045007327,0.209336404,0.025329705,,0.182417582,2.454945055,156,5.659340659,55,0,41.86728072,20.93364036,,24.28302282,19.88695834,3.977391668,6.997906636,18.00293071,
423,Grue,Kommune,10011,Glåmdal,4,Hedmark,2018,4740,441,155.5527426,,2.53164557,,1.687763713,5.063291139,3.375527426,10.12658228,2.559704641,0.99535865,17.29957806,1.054852321,12.19725738,8.860759494,0.261392405,251,261,,89.24050633,2.522362869,0.075316456,,,,0.16553288,2.598639456,146,4.292517007,215,0,48.31223629,80.5907173,,17.93248945,20.04219409,3.375527426,7.431012658,35.23206751,
425,Åsnes,Kommune,10011,Glåmdal,4,Hedmark,2014,7544,775,,,0.530222694,0.132555673,,3.181336161,0.79533404,2.651113468,0.085896076,0.027836691,,0.662778367,18.61611877,10.73700954,0.543080594,220,202,4.112407211,138.5206787,3.92033404,,0.662778367,0.052359491,,0.108387097,2.953548387,207,7.956129032,35,0,19.1542948,0,45.46659597,10.33934252,12.99045599,14.05090138,11.0795334,19.88335101,
425,Åsnes,Kommune,10011,Glåmdal,4,Hedmark,2015,7561,770,,,0.396772914,0.132257638,,2.380637482,0.793545827,2.909668033,0.081999735,,,0.661288189,23.85187145,20.63219151,0.934003439,171,155,4.589472292,152.4930565,4.45073403,0.019838646,0.661288189,0.033725698,,0.111688312,2.871428571,201,5.185714286,238,0,28.03861923,,48.93532602,11.5064145,15.60640127,12.29996032,10.39478905,9.787065203,
425,Åsnes,Kommune,10011,Glåmdal,4,Hedmark,2016,7456,746,,,0.402360515,0.134120172,,3.21888412,1.072961373,4.02360515,0.163358369,0.021459227,,0.938841202,25.11534335,20.25214592,1.320815451,196,147,4.291845494,145.1180258,3.933610515,0.046271459,0.938841202,0.052306867,,0.123324397,2.959785523,203,6.942359249,124,0,79.13090129,,49.62446352,20.38626609,15.82618026,13.14377682,9.655042918,22.12982833,8.717811159
425,Åsnes,Kommune,10011,Glåmdal,4,Hedmark,2017,7329,713,,,0.818665575,0.136444263,,2.455996725,0.54577705,3.820439351,0.086232774,0.021831082,2.865329513,1.0915541,17.97489426,21.55819348,0.929321872,177,137,8.527766407,134.5340428,3.548915268,0,0.272888525,0.026743075,,0.127629734,3.252454418,180,6.182328191,28,0,0,,38.61372629,23.19552463,16.64620003,12.41642789,12.09087188,18.41997544,8.868877064
425,Åsnes,Kommune,10011,Glåmdal,4,Hedmark,2018,7279,712,,,0.824289051,0.137381508,,4.121445253,1.923341118,4.39620827,0.086825113,0.021981041,2.335485644,1.78595961,13.0965792,24.04176398,1.164033521,157,136,8.586344278,130.787196,3.496908916,0.022667949,0.274763017,0.017035307,,0.132022472,2.683988764,217,5.970505618,111,0,31.59774694,6.869075422,41.21445253,16.07363649,11.67742822,13.46338783,11.94848193,17.72221459,5.495260338
426,Våler (Hedmark),Kommune,10011,Glåmdal,4,Hedmark,2014,3783,365,,,1.321702353,,,3.700766587,1.586042823,,,,,0.528680941,12.95162569,,,300,300,6.608511763,120.2749141,7.408934708,,,,,0.17260274,2.679452055,321,8.764383562,22,0,0,,,21.41157811,24.31932329,6.608511763,6.570711076,24.58366376,
426,Våler (Hedmark),Kommune,10011,Glåmdal,4,Hedmark,2015,3790,362,,,1.055408971,,,4.221635884,1.055408971,,,,,0.791556728,51.56253298,,,305,305,7.915567282,111.8733509,9.1176781,0.224274406,,,,0.301104972,3.508287293,97,5.143646409,227,0,0,,,24.53825858,17.15039578,,6.798416887,22.69129288,
426,Våler (Hedmark),Kommune,10011,Glåmdal,4,Hedmark,2016,3760,352,,,0.531914894,,,4.787234043,0.531914894,,,,,0.79787234,14.7462766,,,307,307,8.510638298,115.4255319,9.577659574,0.636968085,,,,0.329545455,3.360795455,80,4.738636364,354,0,54.5212766,,,3.457446809,15.69148936,,8.014095745,22.60638298,
426,Våler (Hedmark),Kommune,10011,Glåmdal,4,Hedmark,2017,3743,355,,,0.534330751,0.267165375,,4.274646006,0.534330751,,,,,2.404488378,154.4587229,,,313,313,8.014961261,121.2930804,8.887790542,0.150948437,,,,0.307042254,3.363380282,88,4.938028169,94,0,243.6548223,,,4.808976757,18.96874165,0.534330751,7.628907294,32.86134117,
426,Våler (Hedmark),Kommune,10011,Glåmdal,4,Hedmark,2018,3680,354,,,0.27173913,0.27173913,,4.891304348,,,,,,1.630434783,47.80788043,,,315,315,8.152173913,123.9130435,8.363858696,0.138043478,0.27173913,0.023913043,,0.31920904,2.997175141,141,3.237288136,298,0,111.6847826,0,21.73913043,4.619565217,21.4673913,0.543478261,,31.79347826,
