Nr,File
2012,Alta_komm.svg
2014,Loppa_komm.svg
2015,Hasvik_komm.svg
2017,Kvalsund_komm.svg
2018,Måsøy_komm.svg
2019,Nordkapp_komm.svg
2020,Porsanger_komm.svg
2021,Karasjok_komm.svg
2022,Lebesby_komm.svg
2023,Gamvik_komm.svg
2024,Berlevåg_komm.svg
2025,Tana_komm.svg
2027,Nesseby_komm.svg
2028,Båtsfjord_komm.svg
2030,Sør-Varanger_komm.svg
